GeoFips,GeoName,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
0,United States,40683,42747,44548,44798,46887,48725,49613,51550,53786,56250,59763,64117
1000,Alabama,33946,35010,35824,36014,37055,38531,39014,40223,41539,43288,46119,49671
2000,Alaska,49652,52569,53708,52812,55867,57575,56278,57189,59618,61316,62715,65677
4000,Arizona,33876,35321,36545,37139,38756,40334,41473,43497,45466,48124,52313,55574
5000,Arkansas,32372,34279,36582,36677,38749,39968,40873,41890,43384,44324,47123,50588
6000,California,43246,45557,48121,48502,51266,54546,56560,58804,61508,64919,70643,76800
8000,Colorado,40790,43658,45630,47404,50797,52339,52390,55251,58453,62124,65352,70715
9000,Connecticut,61743,63132,64121,62647,65498,67321,68680,70011,72926,75533,78526,82885
10000,Delaware,40942,43962,44070,44404,46015,47868,48734,50417,52716,54217,56311,59846
11000,District of Columbia,63368,67005,68148,67774,71469,75623,78186,79984,82708,84671,92307,96659
12000,Florida,38872,40517,41540,41162,43516,45659,46454,49055,51520,54560,57240,62136
13000,Georgia,34829,36842,37495,37794,39969,41941,43033,44993,46855,49083,51967,55846
15000,Hawaii,41574,42809,43812,43931,46044,47777,49122,51114,52164,54700,57276,60711
16000,Idaho,32097,33579,35110,36095,37680,39386,40098,41457,43217,45924,49453,52276
17000,Illinois,42278,44194,46029,47047,49238,51443,52036,53611,56536,58438,62132,67165
18000,Indiana,35695,37799,39433,39766,41188,42667,43645,45015,46945,48749,52194,56435
19000,Iowa,38312,41036,42873,43439,44699,46104,46291,47246,49163,50367,53280,57080
20000,Kansas,39960,43015,45294,46174,47013,47332,47326,48651,50663,52876,55935,58857
21000,Kentucky,33409,34799,35875,36058,37645,39232,39750,40751,41974,43875,47489,51298
22000,Louisiana,38242,39124,41003,41376,43085,43113,42725,44056,46057,47668,50804,54181
23000,Maine,38106,39690,40411,40329,41797,43672,44740,46378,48141,50728,54861,58272
24000,Maryland,49668,51845,52787,52249,53659,55825,57632,59155,60577,62313,65680,69710
25000,Massachusetts,52894,54812,56669,56628,58924,62376,64295,66679,69693,73213,78685,83593
26000,Michigan,35760,37781,39266,39566,41207,43425,44527,45716,47457,49142,53378,56569
27000,Minnesota,42724,45323,47726,47838,49967,51985,52596,54266,56539,58543,62210,66232
28000,Mississippi,31287,32546,33657,34259,34896,35533,36021,36902,37900,39445,42698,45887
29000,Missouri,37118,38533,40317,40569,41963,43322,44410,45239,47085,49001,52112,55310
30000,Montana,36393,38558,40701,40674,42494,43941,44063,46036,47612,50289,54062,56848
31000,Nebraska,41248,45674,46670,46653,48957,50556,49360,50144,51916,54182,57387,61210
32000,Nevada,37494,38777,39909,39664,41773,44493,45450,47485,49678,52602,55378,60167
33000,New Hampshire,47098,49131,51123,50865,52643,54684,56321,58362,60831,64747,68505,73279
34000,New Jersey,51076,52947,54574,54813,57065,59175,60533,62465,64914,68438,71567,77009
35000,New Mexico,33710,35045,35749,35088,37219,38103,38775,39458,41218,43530,46742,50292
36000,New York,48768,50904,53102,53395,55290,57481,59280,62913,64849,67366,71743,76753
37000,North Carolina,35872,36902,39103,38394,40293,42076,42936,44591,46352,48741,51938,56095
38000,North Dakota,44264,49000,56443,54900,57523,53991,52005,52521,55396,57110,60821,64276
39000,Ohio,36854,39245,40759,41259,42829,44442,45212,46646,48327,50035,53514,56955
40000,Oklahoma,37276,39800,42232,44017,46614,44894,42521,44423,46415,48646,50481,53808
41000,Oregon,36036,37596,39371,39788,42134,44694,45999,47974,50567,52718,56962,61449
42000,Pennsylvania,42251,44211,45855,46213,48063,49927,51181,52421,55030,56952,60663,64042
44000,Rhode Island,42766,44201,45601,45447,47199,48682,49184,50982,52659,55830,59935,64296
45000,South Carolina,32852,34479,35989,36204,38152,40053,41178,42758,44155,46681,49095,52441
46000,South Dakota,41423,44758,45442,45608,47488,49186,49192,50104,52166,55294,60398,64405
47000,Tennessee,35851,37727,39373,39454,40753,42535,43499,44879,46870,49343,52310,56616
48000,Texas,39034,42037,44241,44816,47370,47465,46586,49231,52005,54076,55573,59802
49000,Utah,32218,34190,36005,36511,38168,40459,41750,43241,45665,48580,52191,56000
50000,Vermont,41733,43982,45277,45770,47641,48876,49621,50771,52409,55442,59260,61748
51000,Virginia,45513,47608,49309,48573,50318,52238,53268,54879,56619,59073,62157,66190
53000,Washington,42348,44225,47320,47857,50890,53083,54918,57265,60221,64189,68304,73755
54000,West Virginia,32762,34581,35453,35318,36570,37468,37380,39140,41279,42951,45199,48418
55000,Wisconsin,39175,41209,42944,43050,44709,46548,47205,48758,50908,52893,55904,59787
56000,Wyoming,46649,50783,54213,53776,57749,57846,54827,57184,60472,64117,65744,69584
91000,New England,51978,53729,55229,54831,57084,59633,61156,63092,65760,68959,73369,77837
92000,Mideast,47617,49707,51461,51661,53575,55689,57265,59651,61810,64235,68067,72548
93000,Great Lakes,38244,40342,41983,42511,44254,46165,46965,48384,50501,52296,55921,59896
94000,Plains,39915,42520,44630,44905,46549,47815,48141,49272,51311,53266,56604,60167
95000,Southeast,36774,38365,39729,39605,41459,43171,43951,45732,47617,49978,52904,57000
96000,Southwest,37682,40289,42278,42919,45311,45532,44935,47312,49832,52033,54107,58061
97000,Rocky Mountain,37273,39715,41678,42740,45316,46995,47294,49455,52093,55312,58623,62847
98000,Far West,42354,44484,46926,47273,49992,52981,54791,56984,59628,62936,68020,73742
